id,date,main,Q1,Q1A,Q1B,Q1C,Q1D,A1,Q2,Q2A,Q2B,Q2C,Q2D,A2,japanese,page,correct_order_q1,correct_answers_q2,japanese_image_url,question_type_ja,ja_intro_text,q1_ja,correct_answer_q1_ja,q2_ja,correct_answer_q2_ja,q3_ja,q3a_ja,q3b_ja,q3c_ja,q3d_ja,correct_answer_q3_ja,word_count_ja,audio_url,japanese_explanation_video_url,video_type
11,2025-08-08,"In Kenji's class, they talked about recycling. Their teacher, Ms. Tanaka, asked them for their ideas. Some students said recycling is very important for the environment because it helps make less trash. Others said it's hard to recycle because it takes time and work. After listening to everyone's ideas, Kenji thought that even though recycling is not always easy, it's something everyone can do to help the Earth. Their teacher said they should start by recycling paper and plastic at school. Kenji agreed with her. It might take some time, but if everyone tries, it will make a big difference.",Q1 What was the topic of the class discussion?,A. How to make a new product.,B. How to save money.,C. Recycling and its importance.,D. How to avoid waste.,C. Recycling and its importance.,Q2 What did the teacher suggest?,A. To stop recycling.,B. To recycle paper and plastic at school.,C. To throw away everything.,D. To talk about recycling later.,B. To recycle paper and plastic at school.,"ケンジのクラスでは、リサイクルについて話し合いました。彼らの先生である田中先生は、生徒たちに自分たちの意見を求めました。ゴミを少なくするのに役立つからリサイクルは環境にとってとても大切だと言う生徒もいました。リサイクルは時間と手間がかかるので難しいと言う生徒もいました。みんなの意見を聞いたあと、ケンジはリサイクルはいつも簡単というわけではないけれど、地球を助けるために誰でもできることだと思いました。先生は、学校で紙とプラスチックのリサイクルから始めるべきだと言いました。ケンジはその意見に同意しました。少し時間はかかるかもしれませんが、もしみんながやってみれば、大きな違いになるでしょう。",48,"ウ,イ,ア,エ","エ,オ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%AA.png,binary_double,次の説明は本文の内容と合致するか。,問題１「偏見」と「先入観」の違いは、「偏見」が必ずしも感情的でないのに対し、「先入観」は感情的であるという点である。,正しくない,問題２　「偏見」と「先入観」はどちらも固定的な考えを持つため、偏見や先入観を持つことは言語学習において理解を深める手助けとなる。,正しくない,,,,,,,532,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/A%20Class%20Discussion%20on%20Recycling.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_11.mp4,embed_mp4
12,2025-08-09,"Kelly loves traveling. Last summer, she wanted to visit her grandmother who lived in another town. It was Kelly's first trip alone. She packed her bag carefully and said goodbye to her family. At the train station, she bought a ticket. There were many people, and she felt a little nervous. Then, she carefully looked at the seat numbers and finally found her assigned place by the window. Kelly felt a little nervous, but also excited. During the trip, she looked out the window and saw beautiful mountains and rivers. After two hours, she arrived safely. Her grandmother was waiting with a big smile. Kelly gave her a big hug and felt very proud of herself.",Q1 Which is true about this story?,A. Kelly travels with her family.,B. Kelly visits her grandmother alone.,C. Kelly goes to the mountains with her friends.,D. Kelly visits her grandmother's house for the first time.,B. Kelly visits her grandmother alone.,Q2 How did Kelly feel during her trip?,A. She was nervous and sad.,B. She felt excited but a little nervous.,C. She felt bored during the trip.,D. She was angry because she got lost.,B. She felt excited but a little nervous.,"ケリーは旅行が大好きです。去年の夏、彼女は別の町に住むおばあちゃんを訪ねたいと思いました。それはケリーにとって初めての一人旅でした。彼女はかばんを丁寧に詰め、家族に別れを告げました。駅に着くと切符を買いました。人がたくさんいて彼女は少し緊張しました。それから座席番号をよく見てついに窓際の自分の席を見つけました。ケリーは少し緊張していましたが、同時にわくわくしていました。旅の間、窓の外を見て、美しい山や川を眺めました。2時間後、彼女は無事に到着しました。おばあちゃんは大きな笑顔で待っていました。ケリーはおばあちゃんをぎゅっと抱きしめ、自分のことをとても誇らしく感じました。",49,"ウ,ア,エ,イ","ア,エ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%AB.png,multiple_single,"次の問いに答えなさい。",,,,,"「普遍的」とはどのような概念か。","ア　人類にとってなくてはならないものの様子。","イ　いつの時代でもどんな場所でも通用する様子。","ウ　その地域において長年にわたって適用されてきた様子。","エ　ある時代に世界中で普及していた様子。","イ　いつの時代でもどんな場所でも通用する様子。",502,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/Kelly%E2%80%99s%20First%20Trip%20Alone.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_12.mp4,embed_mp4
13,2025-08-18,"One afternoon, Lucy was walking in the park near her house. When she was walking on a path, she saw a dog walking alone. The dog didn't have a collar, and it looked scared. Lucy decided to help the dog. She gently called to the dog, and after a few minutes, the dog came closer. Lucy took the dog to the animal shelter. She knew they could check a small chip and find its owner. Finally, they found the dog's owner, and the owner was very happy to get the dog back. Lucy felt happy because she helped find the dog's home.",Q1 What did Lucy do when she saw the dog?,A. She ran away.,B. She called the dog and took it to the shelter.,C. She took the dog home.,D. She ignored the dog.,B. She called the dog and took it to the shelter.,Q2 How did Lucy feel after helping the dog?,A. Sad.,B. Happy.,C. Angry.,D. Tired.,B. Happy.,"ある午後、ルーシーは家の近くの公園を歩いていました。道を歩いていると、一匹の犬がひとりで歩いているのを見つけました。その犬は首輪をしておらず、こわがっているようでした。ルーシーはその犬を助けようと決めました。やさしく犬を呼ぶと、数分後に犬が近づいてきました。ルーシーは犬を動物の保護施設に連れて行きました。そこで、小さなチップを調べて、飼い主を見つけてもらえると知っていました。ついに、犬の飼い主が見つかり、とても喜んで犬を迎えに来ました。ルーシーは、犬の家を見つける手助けができてうれしく思いました。",50,"イ,エ,ア,ウ","ウ,オ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%AC.png,binary_double,次の説明は本文の内容と合致するか。,問題１　音楽は人類にとってなくてはならないものなので普遍的なものだ。,正しくない,問題２　普遍的という言葉には、時代や地域を限定する感覚はない。,正しい,,,,,,,545,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/The%20Lost%20Dog.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_13.mp4,embed_mp4
14,2025-08-19,"It was a warm Saturday afternoon, and Emily and her family decided to have a picnic in the park. They packed a basket with sandwiches, fruit, and juice. Emily's father brought a blanket to sit on, and her brother brought a ball to play with. When they arrived at the park, they found a nice spot near a lake. Emily and her brother played with the ball while their parents set up the picnic. After eating, they went for a walk around the lake. They saw some ducks swimming in the water and enjoyed the beautiful weather. At the end of the day, they packed up their things and went home, feeling happy and relaxed.",Q1 What did Emily and her family bring to the park?,A. Ice cream.,B. A basket with food and a ball.,C. A fishing rod.,D. A bicycle.,B. A basket with food and a ball.,Q2 What did they see in the lake?,A. Fish swimming.,B. Ducks swimming.,C. Boats floating.,D. People swimming.,B. Ducks swimming.,"暖かい土曜の午後、エミリーと家族は公園でピクニックをすることにしました。彼らはサンドイッチ、フルーツ、ジュースをバスケットに詰めました。エミリーの父は座るための毛布を持ってきて、兄は遊ぶためのボールを持ってきました。公園に着くと、彼らは湖の近くに良い場所を見つけました。両親はピクニックの準備をする間にエミリーと兄はボールで遊びました。食事の後、彼らは湖の周りを散歩しました。水の中で泳いでいるカモを見たり、美しい天気を楽しんだりしました。1日の終わりに、彼らは荷物を片づけて家に帰りました。みんな幸せでリラックスした気持ちになりました。",51,"イ,エ,ア,ウ","イ,エ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%AD.png,binary_double,次の説明は本文の内容と合致するか。,問題１　「普遍」という言葉には時間的な広がりが感じられるが、「遍在」という言葉には時間的な広がりは感じられない。,正しい,問題２　各地に在るものでも、広くいきわたっていなければ、「遍在」しているとはいえない。,正しい,,,,,,,491,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/The%20Picnic%20in%20the%20Park.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_14.mp4,embed_mp4
15,2025-08-22,"Last weekend, Sora went to a local park to help clean up as part of a volunteer event. Many people were there, picking up trash and planting flowers. At first, Sora thought it would be boring, but as she started working with others, she realized how much fun it was to help each other. Sora met new people and learned about how important it is to keep our environment clean. After the event, the park looked beautiful, and she felt proud of their work together. She decided to volunteer again near the future.",Q1 What did Sora do at the volunteer event?,A. She went shopping.,B. She cleaned up the park and planted flowers.,C. She played games.,D. She took a walk.,B. She cleaned up the park and planted flowers.,Q2 How did Sora feel after volunteering?,A. She was tired and sad.,B. She was bored and uninterested.,C. She felt proud of their work together.,D. She was angry at the other volunteers.,C. She felt proud of their work together.,先週末、ソラはボランティア活動の一環として、地元の公園に掃除の手伝いに行きました。たくさんの人がそこにいて、ゴミを拾ったり、花を植えたりしていました。最初、ソラは退屈だろうと思っていましたが、他の人たちと一緒に作業を始めると、お互いに助け合うことがとても楽しいと気づきました。ソラは新しい人たちと出会い、私たちの環境をきれいに保つことがいかに重要かを学びました。イベントの後、公園は美しく見え、ソラはそれを見てうれしく感じました。ソラは近い将来またボランティアをしようと決めました。,52,"イ,ウ,ア,エ","ウ,オ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%AE.png,binary_double,次の説明は本文の内容と合致するか。,問題１　ある映画がその年の興行収入第一位であれば、「その年で一番おもしろい映画だった」という意見は客観的なものだといえる。,正しくない,問題２　「客観的」と発言していたとしても、その発言が主観に基づく場合がある。,正しい,,,,,,,570,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/A%20Day%20of%20Volunteering.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_15.mp4,embed_mp4
16,2025-08-23,"Emi was excited because her class was going to perform a drama in the school festival. She really wanted to play one of the main characters. In the drama, there are three important rolesa princess, a fairy, and a clown. She got the role of the fairy, and she had to wear a beautiful costume. At first, Emi was nervous about forgetting her lines, but her teacher and friends helped her practice. On the day of the play, Emi felt confident. She remembered her lines and acted well. Everyone clapped after the play, and Emi was proud of herself. She learned that practice makes perfect.",Q1 What role did Emi have in the play?,A. A princess.,B. A fairy.,C. A clown.,D. A teacher.,B. A fairy.,Q2 What did Emi learn from the play?,A. That acting is easy.,B. That practice makes perfect.,C. That plays are boring.,D. That she didn't need to learn her lines.,B. That practice makes perfect.,"エミはワクワクしていました。なぜなら、クラスが学校の文化祭で劇をすることになったからです。エミは、主役のひとりを演じたいと思っていました。その劇には、3つの大事な役があります。お姫さま、妖精、そしてピエロです。エミは妖精の役に決まり、美しい衣装を着ることになりました。最初はセリフを忘れないかとても不安でしたが、先生や友だちが練習を手伝ってくれました。劇の日、エミは自信を持っていました。セリフを覚えていて、上手に演じることができました。劇のあと、みんなが拍手をしてくれて、エミは自分を誇りに思いました。エミは、「練習すればうまくなる」ということを学びました。",53,"イ,ウ,エ,ア","ウ,オ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%AF.png,multiple_single,"次の問いに答えなさい。",,,,,"本文の内容と合致するものはどれか。","ア　主観は主体、客観は客体と同じ意味を持つ。","イ　主観と客観は対立する視点、主体と客体は関わり合う存在を示す。","ウ　主体は感情に基づく見方、客体はデータに基づく見方を示す。","エ　主観と客観は行動の中心、主体と客体は意見の対象を示す。","イ　主観と客観は対立する視点、主体と客体は関わり合う存在を示す。",512,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/The%20School%20Play.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_16.mp4,embed_mp4
17,2025-08-25,"Anna loved animals, and one day, she decided to volunteer at a local animal shelter. She went there on the weekend and helped clean the cages and feed the animals. Anna met many dogs and cats. Among them, there was a shy dog. His name was Max. Max didn't trust people very much at first. But Anna was patient. She sat quietly near him every day, and slowly, Max started to come closer. After a few weeks, Max finally let Anna pet him. Anna was happy that she helped him trust people. She learned that sometimes, kindness and patience can change everything.",Q1 Where did Anna volunteer? ,A. At a hospital.,B. At an animal shelter.,C. At a school.,D. At a library.,B. At an animal shelter.,Q2 What did Anna do to help Max? ,A. She gave Max a lot of treats.,B. She was patient and waited for Max to trust her.,C. She took Max to the park every day.,D. She played with Max all the time.,B. She was patient and waited for Max to trust her.,アンナは動物が大好きで、ある日、地元の動物シェルターでボランティアをすることにしました。彼女は週末にそこへ行き、ケージの掃除や動物への餌やりを手伝いました。アンナはたくさんの犬や猫に会いました。その中に、マックスという名前の恥ずかしがり屋の犬がいました。マックスは最初、人間をあまり信用していませんでした。でもアンナは辛抱強く接しました。彼女は毎日静かに彼のそばに座り、少しずつマックスは近づいてくるようになりました。数週間後、ついにマックスはアンナに触らせてくれました。アンナは、マックスが人を信じられるようになって嬉しく思いました。彼女は、やさしさと忍耐がすべてを変えることもあると学びました。,54,"ウ,ア,エ,イ","エ,オ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%B0.png,multiple_single,"次の問いに答えなさい。",,,,,"「ぜったいに勝ちます！」という発言を「おもしろいな」と思ったのはなぜか。","ア　相手が強いので、その選手は勝てないと思ったから。","イ　選手の発言の仕方がおもしろかったから。","ウ　試合の前から勝敗を意識する発言だったから。","エ　勝敗とは本質的に相対的なものだと思ったから。","エ　勝敗とは本質的に相対的なものだと思ったから。",497,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/Volunteering%20at%20the%20Animal%20Shelter.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_17.mp4,embed_mp4
18,2025-08-26,"Lily was nervous because it was her first day at a new school. She didn't know anyone, and she was worried she wouldn't make any friends. During lunch, she sat alone at a table, feeling a little sad. But after a while, a girl named Emma came up to her and introduced herself. They started talking, and soon, they were laughing together. Emma showed Lily around the school, and they became fast friends. By the end of the day, Lily felt much better. She realized that sometimes, things get better if you just give them a chance.",Q1 Why was Lily nervous on her first day?,A. She didn't like the school.,B. She was worried she wouldn't make any friends.,C. She didn't know where her classes were.,D. She didn't like the food in the cafeteria.,B. She was worried she wouldn't make any friends.,Q2 What happened when Lily met Emma?,A. They didn't talk to each other.,B. They became fast friends.,C. Emma made fun of Lily.,D. Lily didn't like Emma.,B. They became fast friends.,リリーは新しい学校の初日だったので緊張していました。彼女は誰も知らず、友だちができないのではないかと心配していました。昼休みの間、彼女は一人でテーブルに座っていました。少し悲しい気持ちになりました。でも、しばらくして、エマという名前の女の子がやってきて自己紹介をしてくれました。彼女たちは話し始め、すぐに一緒に笑っていました。エマは学校の中をリリーに案内し、二人はすぐに仲良くなりました。1日の終わりには、リリーはずっと気持ちが楽になっていました。ときどき、物事はチャンスを与えればよくなることがあると彼女は気づきました。,55,"エ,イ,ウ,ア","イ,エ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%B1.png,binary_double,次の説明は本文の内容と合致するか。,問題１　「絶対」という気持ちを持つことは有意義である。,正しい,問題２　「絶対」という気持ちを持てばどんな壁でも必ず乗り越えられる。,正しくない,,,,,,,488,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/The%20Difficult%20First%20Day%20at%20School.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_18.mp4,embed_mp4
19,2025-08-27,"Julia, an exchange student from the United States, arrived in Japan to stay with a host family for a year. At first, she was nervous because everything was so different. She didn't understand the language very well, and the food was different. But her host family was kind and patient with her. They helped her learn Japanese and introduced her to new foods, like sushi and ramen. Over time, Julia became more comfortable and even started to love the food and the language. She learned a lot about Japanese culture and made many new friends. At the end of the year, Julia was sad to leave, but she was happy that she experienced such a wonderful culture.",Q1 Where did Julia go as an exchange student?,A. To Canada.,B. To the United States.,C. To Japan.,D. To Australia.,C. To Japan.,Q2 What did Julia learn during her stay in Japan?,A. How to speak Chinese.,B. How to play Japanese games.,"C. About Japanese culture, food, and language.",D. How to cook Italian food.,"C. About Japanese culture, food, and language.",ジュリアはアメリカから来た交換留学生で、1年間日本でホストファミリーと暮らすことになりました。最初は、すべてがとても違っていて緊張していました。言葉があまりわからず、食べ物も違っていました。でも、ホストファミリーは親切で、辛抱強く接してくれました。ジュリアが日本語を学べるように助けてくれ、寿司やラーメンなど新しい食べ物も紹介してくれました。時間がたつにつれて、ジュリアはだんだんと慣れてきて、日本語や食べ物が好きになっていきました。日本の文化についてたくさん学び、新しい友だちもできました。1年の終わりには、ジュリアは日本を離れるのが悲しかったですが、すばらしい文化を体験できてうれしく思いました。,56,"ウ,イ,ア,エ","イ,エ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%B2.png,multiple_single,"次の問いに答えなさい。",,,,,"「『絶対絶命』と書いてしまうと救いようのないことになる」とあるが、このように考えたのはなぜか。","ア　必ず命を落とすという意味になるから。","イ　試験で不正解になるから。","ウ　体や命が絶えるほどの危機だと伝わらないから。","エ　前半と後半が対義語関係になってしまうから。","ア　必ず命を落とすという意味になるから。",506,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/Cultural%20Exchange%20in%20Japan.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_19.mp4,embed_mp4

