id,main,Q1,Q1A,Q1B,Q1C,Q1D,A1,Q2,Q2A,Q2B,Q2C,Q2D,A2,japanese
11,"Being on time is an important habit that benefits both ourselves and others. It shows respect, responsibility, and good time management skills. People who are always late may miss important events, lose opportunities, or cause inconvenience to others. To be punctual, planning ahead, setting reminders, and preparing in advance can be helpful. Those who are on time often feel less stressed, stay more organized, and earn a better reputation. Whether at school, work, or social gatherings, being punctual helps build trust and leads to greater success in life.",What is this passage about?,A. Why being on time matters.,B. The history of clocks.,C. How to sleep longer.,D. Why people should be late.,A. Why being on time matters.,"According to the passage, why is being on time important?",A. It helps build trust and success.,B. It makes life more stressful.,C. It is not necessary for school.,D. Only adults need to be on time.,A. It helps build trust and success.,時間を守ることは、自分自身と他者の両方に利益をもたらす重要な習慣です。それは、敬意、責任感、そして優れた時間管理スキルを示します。いつも遅刻する人は、重要な出来事を逃したり、機会を失ったり、他人に迷惑をかけたりする可能性があります。時間を守るためには、事前に計画を立て、リマインダーを設定し、前もって準備することが役立ちます。時間を守る人は、ストレスをあまり感じず、より整理された状態を保ち、より良い評判を得ることがよくあります。学校でも、職場でも、社交の場でも、時間を守ることは信頼を築くのに役立ち、人生におけるより大きな成功につながります。
12,"Reading books opens the door to new worlds. Through stories, we can visit faraway places and meet people from different times. Reading also helps us learn new words and think more deeply. Students who read often usually write better, too. Some people say they have no time to read, but even ten minutes a day can make a difference. Choosing a book you enjoy is the key. When reading becomes a habit, it stays with us for life and keeps our minds active.",What is this passage about?,A. How to write a novel.,B. The value of reading books.,C. The history of libraries.,D. Why stories are not true.,B. The value of reading books.,What does the passage say about time for reading?,A. People need at least two hours a day.,B. Reading is only for weekends.,C. Even ten minutes a day can help.,D. Busy people should not read.,C. Even ten minutes a day can help.,本を読むことは、新しい世界への扉を開きます。物語を通して、私たちは遠く離れた場所を訪れたり、異なる時代の人々に出会ったりすることができます。また、読書は新しい言葉を学び、より深く考える助けにもなります。よく本を読む生徒は、たいてい文章を書くのも上手です。読書をする時間がないと言う人もいますが、1日10分でも違いを生むことができます。自分が楽しめる本を選ぶことが鍵です。読書が習慣になれば、それは一生続き、私たちの頭を活発に保ってくれます。
13,"Getting enough sleep is just as important as eating well. While we sleep, our body repairs itself and our brain organizes what we learned during the day. Teenagers need about eight to ten hours of sleep each night. Without it, they may feel tired, lose focus in class, and become easily upset. Using a phone late at night can make it harder to fall asleep. Going to bed at the same time every day helps our body build a healthy rhythm.",What is this passage about?,A. Why teenagers love phones.,B. The best food for dinner.,C. How dreams are made.,D. The importance of sleep.,D. The importance of sleep.,What can make it harder to fall asleep?,A. Going to bed at the same time.,B. Using a phone late at night.,C. Eating well.,D. Learning during the day.,B. Using a phone late at night.,十分な睡眠をとることは、しっかり食べることと同じくらい重要です。眠っている間に、体は自らを修復し、脳はその日に学んだことを整理します。10代の若者には、毎晩およそ8～10時間の睡眠が必要です。睡眠が足りないと、疲れを感じたり、授業に集中できなくなったり、すぐにいらいらしたりすることがあります。夜遅くにスマートフォンを使うと、寝つきが悪くなることがあります。毎日同じ時間に寝ることで、体は健康的なリズムを作ることができます。
14,"Smartphones have changed the way we live. With one small device, we can call friends, take pictures, check the news, and find information in seconds. They are very useful, especially when we travel or need help quickly. However, spending too much time on smartphones can cause problems. Some people stop talking to the people around them, and others have trouble sleeping. It is important to decide when to use our phones and when to put them away. Smartphones are helpful tools, but we should control them, not let them control us.",What is this passage about?,A. The history of the telephone.,B. How to take good pictures.,C. Using smartphones wisely.,D. Why traveling is dangerous.,C. Using smartphones wisely.,What problem can smartphones cause?,A. They make information hard to find.,B. People may stop talking to others around them.,C. They make travel impossible.,D. They cannot take pictures.,B. People may stop talking to others around them.,スマートフォンは私たちの生活の仕方を変えました。小さな機器ひとつで、友だちに電話をかけたり、写真を撮ったり、ニュースを確認したり、数秒で情報を見つけたりすることができます。特に旅行中やすぐに助けが必要なときには、とても役に立ちます。しかし、スマートフォンに時間を使いすぎると、問題が起こることがあります。周りの人と話をしなくなる人もいれば、眠れなくなる人もいます。いつスマートフォンを使い、いつしまうかを決めることが大切です。スマートフォンは便利な道具ですが、私たちがスマートフォンをコントロールすべきであり、スマートフォンに振り回されてはいけないのです。
15,"Learning a foreign language can be difficult, but it is also exciting. When we learn a new language, we can talk with people from other countries and understand their cultures. It also gives us more chances to find good jobs in the future. Many learners feel shy about speaking because they are afraid of making mistakes. However, speaking is the fastest way to improve. Watching movies, listening to songs, and chatting online are fun ways to practice. Little by little, a new language can open many doors.",What is this passage about?,A. The benefits of learning a foreign language.,B. How to find a job.,C. The history of movies.,D. Why mistakes are dangerous.,A. The benefits of learning a foreign language.,"According to the passage, what is the fastest way to improve?",A. Reading grammar books.,B. Staying silent.,C. Speaking.,D. Writing letters.,C. Speaking.,外国語を学ぶことは難しいこともありますが、わくわくすることでもあります。新しい言語を学ぶと、他の国の人々と話し、その文化を理解することができます。また、将来良い仕事を見つけるチャンスも増えます。多くの学習者は、間違えることを恐れて、話すことに恥ずかしさを感じます。しかし、話すことが上達への一番の近道です。映画を観たり、歌を聴いたり、オンラインでおしゃべりしたりすることは、楽しい練習方法です。少しずつ、新しい言語は多くの扉を開いてくれるのです。
16,"Volunteering means helping others without getting paid. People volunteer in many ways, such as cleaning parks, teaching children, or visiting elderly people. Volunteering is good for the community, but it is also good for the volunteers themselves. They meet new people, learn new skills, and feel proud of their work. Some students say volunteering helped them discover what they want to do in the future. You do not need special talents to volunteer. A kind heart and a little time are enough to make a difference.",What is this passage about?,A. How to earn money.,B. The joy and value of volunteering.,C. Why parks are dirty.,D. The life of elderly people.,B. The joy and value of volunteering.,What do you need to volunteer?,A. Special talents.,B. A lot of money.,C. A kind heart and a little time.,D. A teaching license.,C. A kind heart and a little time.,ボランティアとは、報酬を受け取らずに他の人を助けることです。人々は、公園の清掃、子どもたちに勉強を教えること、お年寄りを訪問することなど、さまざまな方法でボランティア活動をしています。ボランティアは地域社会にとって良いことですが、ボランティアをする人自身にとっても良いことです。新しい人と出会い、新しいスキルを学び、自分の活動に誇りを感じることができます。ボランティアのおかげで、将来何をしたいのかが見つかったと言う生徒もいます。ボランティアをするのに特別な才能は必要ありません。優しい心と少しの時間があれば、変化を生み出すのに十分なのです。
17,"Having a pet can bring a lot of joy to a family. Dogs, cats, and other animals give us love and make our homes warmer. Playing with a pet can also reduce stress after a long day. However, taking care of a pet is a big responsibility. Pets need food, water, exercise, and visits to the doctor. Some people buy pets without thinking carefully and later give them up. Before getting a pet, we should make sure we can care for it for its whole life.",What is this passage about?,A. Why cats are better than dogs.,B. How to become an animal doctor.,C. The history of zoos.,D. The joy and responsibility of having a pet.,D. The joy and responsibility of having a pet.,What should people do before getting a pet?,A. Make sure they can care for it for its whole life.,B. Buy many toys.,C. Ask a doctor about their stress.,D. Choose the cheapest animal.,A. Make sure they can care for it for its whole life.,ペットを飼うことは、家族に大きな喜びをもたらします。犬や猫、その他の動物は私たちに愛情を与え、家庭をより温かくしてくれます。また、ペットと遊ぶことで、長い1日の後のストレスを減らすこともできます。しかし、ペットの世話をすることは大きな責任です。ペットには食べ物、水、運動、そして動物病院での診察が必要です。よく考えずにペットを買い、後で手放してしまう人もいます。ペットを飼う前に、その一生を通して世話ができるかどうかを確かめるべきです。
18,"Gardening is a relaxing hobby that anyone can start. You do not need a large yard; a few pots on a balcony are enough. Growing plants teaches patience because it takes time for seeds to become flowers or vegetables. It also helps us understand how nature works. Many gardeners say that touching soil and watching plants grow makes them feel calm. In addition, growing your own vegetables means you can enjoy fresh and safe food. Gardening is a small activity that brings big rewards.",What is this passage about?,A. Gardening as a rewarding hobby.,B. How to build a large yard.,C. The dangers of soil.,D. Why flowers are expensive.,A. Gardening as a rewarding hobby.,What does growing plants teach us?,A. How to sell vegetables.,B. Patience.,C. How to build a balcony.,D. Speed.,B. Patience.,ガーデニングは、誰でも始められるリラックスできる趣味です。広い庭は必要なく、ベランダにいくつかの鉢があれば十分です。種が花や野菜になるには時間がかかるので、植物を育てることは忍耐を教えてくれます。また、自然の仕組みを理解する助けにもなります。多くのガーデニング愛好家は、土に触れ、植物が育つのを見ていると心が落ち着くと言います。さらに、自分で野菜を育てれば、新鮮で安全な食べ物を楽しむことができます。ガーデニングは小さな活動ですが、大きな見返りをもたらしてくれるのです。
19,"Traveling is one of the best ways to learn about the world. When we visit new places, we see different buildings, taste new foods, and hear new languages. These experiences help us understand that there are many ways of living. Travel can also teach us to solve problems, such as finding our way in an unknown city. Some people think travel must be expensive, but even a short trip to a nearby town can be exciting. What matters most is an open mind and a curious heart.",What is this passage about?,A. How to save money on food.,B. The history of airplanes.,C. What we can learn from traveling.,D. Why cities are dangerous.,C. What we can learn from traveling.,"According to the passage, what matters most in travel?",A. Going to faraway countries.,B. Spending a lot of money.,C. Staying in expensive hotels.,D. An open mind and a curious heart.,D. An open mind and a curious heart.,旅行は、世界について学ぶための最良の方法のひとつです。新しい場所を訪れると、異なる建物を目にし、新しい食べ物を味わい、新しい言語を耳にします。こうした経験は、さまざまな生き方があることを理解する助けになります。また、旅は、知らない街で道を探すといった問題を解決する力も教えてくれます。旅行はお金がかかるものだと考える人もいますが、近くの町への短い旅でもわくわくするものです。最も大切なのは、開かれた心と好奇心なのです。
20,"Many people skip breakfast because they are busy in the morning. However, breakfast is often called the most important meal of the day. After a long night without food, our body and brain need energy to start working. Students who eat breakfast can concentrate better in class and remember more. A good breakfast does not have to be large or take a long time to make. A bowl of rice with miso soup, or bread with fruit and milk, is a great choice. Starting the day with breakfast helps us stay active until lunch.",What is this passage about?,A. Why people are busy.,B. The importance of eating breakfast.,C. How to cook a large lunch.,D. The history of miso soup.,B. The importance of eating breakfast.,What does the passage say about a good breakfast?,A. It must be very large.,B. It takes a long time to make.,C. It does not have to be large.,D. It should only be bread.,C. It does not have to be large.,朝は忙しいため、朝食を抜く人がたくさんいます。しかし、朝食はしばしば1日で最も大切な食事と呼ばれます。食べ物のない長い夜の後、体と脳は活動を始めるためのエネルギーを必要としています。朝食を食べる生徒は、授業により集中でき、より多くのことを覚えることができます。良い朝食は、量が多い必要も、作るのに長い時間をかける必要もありません。ご飯とみそ汁、あるいはパンと果物と牛乳だけでも、すばらしい選択です。朝食で1日を始めると、昼食まで活動的でいることができるのです。
21,"Water is essential for life. About sixty percent of the human body is made of water, and we lose some of it every day through sweat and breathing. If we do not drink enough, we may feel tired, get headaches, or have trouble thinking clearly. Many people drink sweet juice or soda when they are thirsty, but plain water is the healthiest choice. It is a good idea to carry a water bottle, especially on hot days or during sports. Drinking water regularly keeps our body working well.",What is this passage about?,A. Why we need to drink water.,B. How to make juice.,C. The dangers of sports.,D. Why hot days are fun.,A. Why we need to drink water.,What is the healthiest drink according to the passage?,A. Sweet juice.,B. Soda.,C. Sports drinks.,D. Plain water.,D. Plain water.,水は生命にとって欠かせないものです。人間の体の約60パーセントは水でできており、私たちは汗や呼吸を通して毎日その一部を失っています。十分に水を飲まないと、疲れを感じたり、頭が痛くなったり、はっきりと考えられなくなったりすることがあります。のどが渇いたときに甘いジュースや炭酸飲料を飲む人は多いですが、ただの水が最も健康的な選択です。特に暑い日やスポーツをするときは、水筒を持ち歩くのが良いでしょう。定期的に水を飲むことで、体がきちんと働き続けるのです。
22,"Libraries are special places in every community. They offer thousands of books that anyone can borrow for free. But libraries are not only about books. Many of them also have computers, newspapers, movies, and quiet rooms for studying. Some libraries hold events such as storytelling for children or classes for adults. Librarians are always ready to help people find the information they need. In a world full of online information, libraries are still important because they give everyone equal access to knowledge.",What is this passage about?,A. How to write a book.,B. The history of newspapers.,C. The value of libraries.,D. Why online information is bad.,C. The value of libraries.,Why are libraries still important today?,A. They sell books at low prices.,B. They give everyone equal access to knowledge.,C. They are always noisy.,D. They only have old books.,B. They give everyone equal access to knowledge.,図書館は、どの地域にとっても特別な場所です。図書館には、誰でも無料で借りられる何千冊もの本があります。しかし、図書館は本だけの場所ではありません。多くの図書館にはパソコン、新聞、映画、そして勉強のための静かな部屋もあります。子ども向けの読み聞かせや大人向けの講座などのイベントを開いている図書館もあります。司書は、人々が必要な情報を見つけるのをいつでも手伝ってくれます。インターネット上の情報があふれる世界においても、図書館は、すべての人に平等に知識を得る機会を与えてくれるため、今でも重要なのです。
23,"Playing team sports teaches us many things that we cannot learn from books. In games like soccer, basketball, or volleyball, players must work together to win. Each member has a different role, and everyone needs to trust one another. Team sports also teach us how to deal with losing. After a hard defeat, players learn to support each other and try again. Communication is very important, too. These lessons are useful not only in sports but also at school, at work, and in daily life.",What is this passage about?,A. How to win every game.,B. Lessons we learn from team sports.,C. The rules of soccer.,D. Why books are useless.,B. Lessons we learn from team sports.,What do players learn after a hard defeat?,A. To quit the team.,B. To blame other players.,C. To support each other and try again.,D. To stop communicating.,C. To support each other and try again.,チームスポーツをすることで、本からは学べない多くのことを学ぶことができます。サッカー、バスケットボール、バレーボールのような競技では、勝つために選手たちが協力しなければなりません。メンバーそれぞれに異なる役割があり、全員が互いを信頼する必要があります。チームスポーツは、負けたときにどう向き合うかも教えてくれます。つらい敗北の後、選手たちは互いに支え合い、再び挑戦することを学びます。コミュニケーションもとても大切です。これらの教訓は、スポーツだけでなく、学校や職場、そして日常生活においても役に立つのです。
24,"Drawing is a wonderful way to express ourselves. Some people think only talented artists can draw, but that is not true. Anyone can pick up a pencil and start. Drawing helps us look at the world more carefully, because we notice shapes, colors, and small details. It can also be a way to share feelings that are hard to put into words. Many people find that drawing for just a few minutes calms their mind. The goal is not to make a perfect picture but to enjoy the process.",What is this passage about?,A. How to sell paintings.,B. The history of pencils.,C. Why only artists should draw.,D. The joy of drawing.,D. The joy of drawing.,What is the goal of drawing according to the passage?,A. To enjoy the process.,B. To make a perfect picture.,C. To become famous.,D. To win contests.,A. To enjoy the process.,絵を描くことは、自分を表現するすばらしい方法です。才能のある芸術家だけが絵を描けると考える人もいますが、それは正しくありません。誰でも鉛筆を手に取って始めることができます。絵を描くと、形や色、細かい部分に気づくようになるため、世界をより注意深く見る助けになります。また、言葉にするのが難しい気持ちを伝える手段にもなります。ほんの数分絵を描くだけで心が落ち着くと感じる人はたくさんいます。目標は完璧な絵を描くことではなく、その過程を楽しむことなのです。
25,"Eating meals together as a family is a simple but valuable habit. At the dinner table, family members can talk about their day, share their worries, and laugh together. Studies show that children who often eat with their families tend to do better at school and feel more secure. These days, many families are busy, and each person often eats at a different time. Even so, having a meal together once or twice a week can make a big difference. Good food tastes even better when shared.",What is this passage about?,A. The value of family meals.,B. How to cook dinner quickly.,C. Why children are busy.,D. The best restaurants in town.,A. The value of family meals.,What do studies show about children who often eat with their families?,A. They eat too much.,B. They tend to do better at school.,C. They do not like talking.,D. They are always busy.,B. They tend to do better at school.,家族そろって食事をすることは、シンプルですが価値のある習慣です。食卓では、家族がその日の出来事を話したり、悩みを打ち明けたり、一緒に笑ったりすることができます。研究によると、家族とよく一緒に食事をする子どもは、学校での成績が良く、より安心感を持つ傾向があります。最近では多くの家庭が忙しく、それぞれが別々の時間に食事をすることがよくあります。それでも、週に1、2回一緒に食事をするだけで、大きな違いが生まれます。おいしい料理は、分かち合うことでさらにおいしくなるのです。
26,"Keeping a diary is an easy habit that can improve our lives. By writing down what happened each day, we can remember special moments that we might otherwise forget. A diary is also a safe place to express our feelings. When we are angry or sad, writing can help us calm down and understand ourselves better. Some people write about their goals and check their progress. There are no rules for writing a diary. Even a few lines before bed can become a precious record of our lives.",What is this passage about?,A. How to become a writer.,B. The benefits of keeping a diary.,C. Why feelings are dangerous.,D. The rules of good writing.,B. The benefits of keeping a diary.,What does the passage say about writing a diary?,A. It must be long.,B. It should follow strict rules.,C. There are no rules for it.,D. It should be written in the morning.,C. There are no rules for it.,日記をつけることは、私たちの生活を豊かにできる手軽な習慣です。毎日の出来事を書き留めることで、書かなければ忘れてしまうかもしれない特別な瞬間を覚えておくことができます。日記はまた、自分の気持ちを表現できる安心な場所でもあります。怒っているときや悲しいとき、書くことは心を落ち着かせ、自分自身をより深く理解する助けになります。自分の目標について書き、その進み具合を確認する人もいます。日記の書き方に決まりはありません。寝る前の数行だけでも、人生の貴重な記録になるのです。
27,"Learning how to save money is an important skill for young people. When we get money, it is easy to spend it all on snacks, games, or clothes. However, if we save a little each time, we can buy something bigger later or prepare for an emergency. One good way to start is to set a clear goal, such as a new bike. Writing down what we spend also helps us notice where our money goes. Saving money teaches patience and helps us plan for the future.",What is this passage about?,A. How to spend money on games.,B. Why clothes are expensive.,C. The importance of saving money.,D. The history of banks.,C. The importance of saving money.,What is one good way to start saving money?,A. Spend it all at once.,B. Set a clear goal.,C. Buy more snacks.,D. Borrow money from friends.,B. Set a clear goal.,お金を貯める方法を学ぶことは、若い人たちにとって大切なスキルです。お金を手に入れると、お菓子やゲーム、服にすべて使ってしまいがちです。しかし、毎回少しずつ貯めれば、後でもっと大きなものを買ったり、緊急時に備えたりすることができます。始めるのに良い方法のひとつは、新しい自転車のようにはっきりとした目標を立てることです。使ったお金を書き留めることも、お金の行き先に気づく助けになります。お金を貯めることは忍耐を教えてくれ、将来の計画を立てる助けにもなるのです。
